index,fold
729,0
1265,0
285,0
433,0
354,0
1672,0
788,0
413,0
1584,0
171,0
1298,0
1042,0
1521,0
1247,0
1115,0
26,0
535,0
823,0
933,0
1736,0
1648,0
294,0
153,0
61,0
1351,0
1407,0
1242,0
1175,0
1782,0
498,0
762,0
443,0
324,0
1360,0
270,0
243,0
1483,0
919,0
1461,0
843,0
1067,0
737,0
14,0
264,0
716,0
1785,0
723,0
116,0
1197,0
229,0
1573,0
896,0
1262,0
363,0
464,0
1390,0
731,0
463,0
122,0
57,0
1073,0
1062,0
595,0
801,0
1693,0
937,0
297,0
150,0
479,0
1113,0
1607,0
1246,0
1092,0
781,0
293,0
1177,0
1452,0
1571,0
626,0
1418,0
574,0
280,0
585,0
1227,0
230,0
1144,0
88,0
81,0
1127,0
838,0
409,0
1030,0
557,0
930,0
1156,0
1772,0
1080,0
1139,0
1714,0
857,0
237,0
1105,0
756,0
761,0
90,0
964,0
1462,0
1570,0
1493,0
1244,0
377,0
344,0
174,0
1595,0
266,0
825,0
184,0
1049,0
1676,0
203,0
1288,0
795,0
552,0
1279,0
1680,0
120,0
385,0
1391,0
520,0
140,0
199,0
1026,0
982,0
342,0
486,0
975,0
976,0
601,0
156,0
246,0
679,0
1212,0
907,0
587,0
1497,0
672,0
522,0
206,0
211,0
39,0
1722,0
1365,0
313,0
196,0
309,0
133,0
1750,0
1767,0
1786,0
1638,0
1334,0
504,0
1799,0
66,0
912,0
332,0
1417,0
419,0
1185,0
1798,0
1674,0
1267,0
1686,0
37,0
1052,0
1359,0
1148,0
1047,0
969,0
509,0
985,0
1171,0
1536,0
1044,0
1442,0
28,0
1237,0
953,0
1636,0
1287,0
1563,0
135,0
240,0
417,0
127,0
1314,0
738,0
1268,0
321,0
207,0
1023,0
615,0
58,0
1634,0
274,0
167,0
640,0
143,0
453,0
943,0
5,0
1507,0
1123,0
176,0
713,0
97,0
1378,0
876,0
1558,0
185,0
1649,0
749,0
177,0
902,0
1203,0
228,0
1078,0
840,0
1130,0
25,0
712,0
1024,0
1223,0
1399,0
918,0
121,0
1323,0
1534,0
796,0
129,0
1681,0
719,0
414,0
63,0
252,0
1109,0
62,0
169,0
1135,0
927,0
620,0
685,0
1579,0
173,0
1641,0
501,0
1053,0
495,0
379,0
1599,0
650,0
29,0
460,0
1559,0
1259,0
1338,0
1716,0
1341,0
627,0
1774,0
1754,0
1142,0
561,0
537,0
1196,0
1337,0
231,0
1190,0
267,0
458,0
277,0
1630,0
445,0
85,0
1740,0
1768,0
1687,0
138,0
1188,1
1063,1
499,1
1721,1
1336,1
580,1
1604,1
1194,1
348,1
222,1
1421,1
428,1
921,1
1574,1
1233,1
457,1
1410,1
148,1
198,1
951,1
663,1
1408,1
1371,1
782,1
1585,1
703,1
341,1
698,1
1292,1
1773,1
1276,1
1535,1
1076,1
999,1
1273,1
1502,1
900,1
1546,1
253,1
