trial,learning_rate,batch_size,eval_f1
0,1.581351518135322e-05,16,0.8604389565308951
1,1.4937182385878784e-05,8,0.8612709980548591
2,4.6812760476533354e-05,8,0.8790104229750094
3,1.1790118792457544e-05,16,0.8353849514083386
4,2.619575351880257e-05,16,0.8637500407043006
5,3.889358080605394e-05,8,0.8748420134814747
6,3.031157391452704e-05,16,0.8625897045661262
7,3.5121588780775286e-05,32,0.8725414978653847
8,1.4204516124006106e-05,32,0.8136147080053157
9,1.449274729819089e-05,32,0.8200458333884058
