trial,learning_rate,batch_size,eval_f1
0,2.4994505416016125e-05,16,0.86932320140991
1,4.1820044304817006e-05,8,0.8771107802594216
2,4.4977389247930044e-05,16,0.8703774566053706
3,1.514071199964556e-05,32,0.8197844641555365
4,1.3326836686387629e-05,16,0.845318728734344
5,1.8528876866773788e-05,16,0.8646202997817681
6,1.063519932328526e-05,16,0.827179948017387
7,3.938301642979992e-05,8,0.8716594624108106
8,1.5076525076153934e-05,32,0.8180037359476297
9,2.8741491043130895e-05,32,0.8589939136882633
