trial,learning_rate,batch_size,eval_f1
0,4.530497610274222e-05,8,0.8738990505481441
1,3.283632455978599e-05,16,0.8709809511549504
2,1.2975057681337827e-05,32,0.8568111213027256
3,4.756863405820922e-05,32,0.8634820075972302
4,1.164056566463639e-05,16,0.8650991983137413
5,3.003179800231941e-05,8,0.8751118688523368
6,1.957107603638245e-05,16,0.8672018656808609
7,2.6200170872690797e-05,16,0.8723801607553042
8,4.7048223873733036e-05,16,0.8674733875876077
9,3.158828599879343e-05,16,0.8676849778383591
